k,precision,recall,f1,support
27,"[0.96978591 0.92891256 0.98409953 0.95754797 0.9778769  0.96095249
 0.97101997 0.95071228 0.98474868 0.93174001]","[0.99067258 0.99361921 0.93682534 0.95792193 0.95409377 0.95510344
 0.98551569 0.96370956 0.90908789 0.95296   ]","[0.98010342 0.96014981 0.9598462  0.95769996 0.9658246  0.95799315
 0.97819927 0.95714815 0.94535091 0.9421971 ]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
29,"[0.968614   0.92798252 0.98438002 0.95800119 0.97830271 0.9616341
 0.97074374 0.94888207 0.98397811 0.93145599]","[0.99115783 0.99380285 0.93392864 0.95713213 0.9530834  0.9539603
 0.98514875 0.96478535 0.90965869 0.95317859]","[0.97973864 0.95974544 0.95847432 0.95754498 0.96549373 0.957746
 0.97788452 0.95671891 0.94533471 0.94216148]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
31,"[0.9690348  0.92625194 0.98372219 0.95717519 0.9778075  0.96044923
 0.96916129 0.94810045 0.98405112 0.93063121]","[0.99056266 0.99371872 0.93296789 0.95776916 0.95223834 0.95432848
 0.98462427 0.96332117 0.90699253 0.9518738 ]","[0.97967648 0.95878644 0.95765626 0.95743659 0.9648437  0.95733021
 0.97682465 0.95562869 0.94392735 0.94111587]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
33,"[0.9687109  0.92421017 0.98399531 0.95786415 0.9774806  0.95797535
 0.9696804  0.94769121 0.98295641 0.9284236 ]","[0.99062777 0.99365159 0.9316843  0.95544961 0.95137129 0.95405093
 0.98448128 0.96260662 0.90415781 0.95191427]","[0.97953227 0.95764054 0.9571021  0.95664249 0.9642171  0.95596535
 0.97701283 0.95506977 0.94186049 0.94000112]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
35,"[0.96896881 0.9216179  0.98332023 0.95616004 0.97761748 0.95913556
 0.96791741 0.94881019 0.98329126 0.92781274]","[0.99031248 0.99310353 0.93100956 0.95552062 0.95165222 0.9529123
 0.9845725  0.96111886 0.90382996 0.95113915]","[0.97950076 0.95602071 0.95643331 0.95581577 0.96442252 0.95598083
 0.97614863 0.95489613 0.94185513 0.93924966]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
37,"[0.96698018 0.92030513 0.9845262  0.95398578 0.97726834 0.95853818
 0.96714663 0.94721102 0.98286765 0.92557981]","[0.99017034 0.99314925 0.92896485 0.95397464 0.95122756 0.9515218
 0.98421219 0.96062667 0.90126408 0.94974134]","[0.97842286 0.95532244 0.95593242 0.95395798 0.96403538 0.95498621
 0.97558512 0.95382847 0.94024685 0.93748905]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
39,"[0.96627188 0.91799905 0.98396159 0.95512341 0.97718831 0.95889452
 0.96706227 0.94652493 0.98240508 0.92457929]","[0.98983833 0.99343534 0.92842597 0.9532637  0.94963774 0.95106255
 0.98373468 0.95980697 0.90083861 0.94931216]","[0.97790414 0.95419535 0.95534731 0.95416776 0.96319463 0.95493468
 0.97531133 0.95309139 0.9398249  0.93676444]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
41,"[0.96647992 0.91568252 0.98388802 0.95469897 0.97636135 0.95764872
 0.96573731 0.94665268 0.9837045  0.92257889]","[0.9896783  0.99330798 0.92619872 0.95377656 0.94790799 0.95006859
 0.98344684 0.95960262 0.89837055 0.94842007]","[0.97792208 0.95289247 0.95415269 0.95420511 0.96190942 0.95381442
 0.97448487 0.95306337 0.93907188 0.93529823]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
43,"[0.96496189 0.91422234 0.98319003 0.95328097 0.97761246 0.95716612
 0.96569519 0.94588279 0.98295364 0.92460532]","[0.98929591 0.99341701 0.92552538 0.9523155  0.94851256 0.94964921
 0.98328083 0.95791789 0.89721412 0.95042484]","[0.9769572  0.95216716 0.95347284 0.95278113 0.96281405 0.9533566
 0.97439492 0.95184155 0.93809171 0.93728399]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
45,"[0.96456954 0.9119414  0.98368525 0.95372178 0.97547281 0.95767089
 0.96641238 0.94506784 0.98327545 0.91964421]","[0.98940134 0.99298755 0.92505912 0.95168713 0.94616702 0.94871575
 0.98280634 0.95759861 0.89544067 0.94782081]","[0.97681899 0.95072938 0.95344647 0.95266584 0.96056255 0.95313718
 0.97453531 0.95127733 0.9372777  0.93347676]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
47,"[0.96377155 0.91120335 0.98446902 0.95202409 0.9756938  0.95481483
 0.96443107 0.94462099 0.98233595 0.91916045]","[0.98878693 0.99289555 0.92294696 0.95127974 0.9449521  0.94730353
 0.98288226 0.95703888 0.89305656 0.94754955]","[0.97610264 0.95027276 0.95269049 0.95159471 0.960058   0.9510054
 0.97355482 0.95077432 0.93553324 0.93311665]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
49,"[0.96321597 0.91004727 0.98457554 0.9525448  0.97564696 0.95541101
 0.96414862 0.94458309 0.98152583 0.91906124]","[0.98870416 0.99302508 0.92092758 0.95089286 0.94495058 0.94758936
 0.98275868 0.9563887  0.89304436 0.94794139]","[0.97578498 0.9496905  0.95165568 0.95169629 0.96003571 0.95144751
 0.97335158 0.95041138 0.93516182 0.93324982]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
51,"[0.96360429 0.90684782 0.98327805 0.95233052 0.9752368  0.95658545
 0.96436141 0.94418973 0.98128276 0.91676122]","[0.98863455 0.99318471 0.91991934 0.94933132 0.94310057 0.94651217
 0.98270562 0.95614283 0.89303344 0.94668759]","[0.97594347 0.94801184 0.95051047 0.9507922  0.95886481 0.95150812
 0.9734304  0.95010296 0.93504716 0.93146637]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
53,"[0.96315214 0.9063849  0.98379963 0.95084406 0.97535928 0.9547937
 0.96292054 0.94162165 0.98168256 0.9151301 ]","[0.98836863 0.99277803 0.91884319 0.94819459 0.94214016 0.9448619
 0.98199363 0.95467324 0.89133982 0.94630062]","[0.97558367 0.94756133 0.95018305 0.9494879  0.95843465 0.94975216
 0.97235748 0.94808764 0.93428006 0.93043726]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
55,"[0.963072   0.90359184 0.98407253 0.95152648 0.97428579 0.95584935
 0.96296431 0.94221829 0.98193167 0.91475176]","[0.98870242 0.99290122 0.91839009 0.94906109 0.94057705 0.94458689
 0.98227466 0.95455696 0.88950111 0.94617087]","[0.97570682 0.94612724 0.95007302 0.9502483  0.95710391 0.95016353
 0.97251009 0.94833551 0.93338193 0.93015882]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
57,"[0.96183993 0.90167892 0.98441366 0.95099036 0.97493327 0.95514278
 0.962207   0.94188966 0.98149555 0.91311194]","[0.98872931 0.99266147 0.91665304 0.9480673  0.93930856 0.94299366
 0.98141109 0.9543568  0.889563   0.94601609]","[0.9750741  0.94497209 0.94928628 0.94948095 0.95676771 0.94897441
 0.97170178 0.94805203 0.93319292 0.92925205]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
